교시,과목,문제번호,최종답안
1교시,보건의약관계법규,1,4
1교시,보건의약관계법규,2,1
1교시,보건의약관계법규,3,3
1교시,보건의약관계법규,4,2
1교시,보건의약관계법규,5,1
1교시,보건의약관계법규,6,4
1교시,보건의약관계법규,7,5
1교시,보건의약관계법규,8,1
1교시,보건의약관계법규,9,2
1교시,보건의약관계법규,10,5
1교시,보건의약관계법규,11,5
1교시,보건의약관계법규,12,4
1교시,보건의약관계법규,13,5
1교시,보건의약관계법규,14,3
1교시,보건의약관계법규,15,3
1교시,보건의약관계법규,16,2
1교시,보건의약관계법규,17,3
1교시,보건의약관계법규,18,1
1교시,보건의약관계법규,19,4
1교시,보건의약관계법규,20,5
1교시,의학총론,21,3
1교시,의학총론,22,2
1교시,의학총론,23,4
1교시,의학총론,24,3
1교시,의학총론,25,1
1교시,의학총론,26,2
1교시,의학총론,27,1
1교시,의학총론,28,5
1교시,의학총론,29,3
1교시,의학총론,30,3
1교시,의학총론,31,2
1교시,의학총론,32,멀티미디어 문제(비공개)
1교시,의학총론,33,멀티미디어 문제(비공개)
1교시,의학총론,34,5
1교시,의학총론,35,3
1교시,의학총론,36,4
1교시,의학총론,37,5
1교시,의학총론,38,2
1교시,의학총론,39,4
1교시,의학총론,40,1
1교시,의학총론,41,4
1교시,의학총론,42,1
1교시,의학총론,43,2
1교시,의학총론,44,4
1교시,의학총론,45,4
1교시,의학총론,46,5
1교시,의학총론,47,1
1교시,의학총론,48,5
1교시,의학총론,49,3
1교시,의학총론,50,3
1교시,의학총론,51,5
1교시,의학총론,52,1
1교시,의학총론,53,5
1교시,의학총론,54,2
1교시,의학총론,55,1
1교시,의학총론,56,2
1교시,의학총론,57,4
1교시,의학총론,58,3
1교시,의학총론,59,3
1교시,의학총론,60,1
1교시,의학총론,61,4
1교시,의학총론,62,2
1교시,의학총론,63,3
1교시,의학총론,64,2
1교시,의학총론,65,2
1교시,의학총론,66,3
1교시,의학총론,67,4
1교시,의학총론,68,4
1교시,의학총론,69,4
1교시,의학총론,70,1
1교시,의학총론,71,2
1교시,의학총론,72,4
1교시,의학총론,73,5
1교시,의학총론,74,3
1교시,의학총론,75,4
1교시,의학총론,76,5
1교시,의학총론,77,5
1교시,의학총론,78,4
1교시,의학총론,79,5
1교시,의학총론,80,5
2교시,의학각론1,1,4
2교시,의학각론1,2,5
2교시,의학각론1,3,4
2교시,의학각론1,4,2
2교시,의학각론1,5,1
2교시,의학각론1,6,3
2교시,의학각론1,7,4
2교시,의학각론1,8,3
2교시,의학각론1,9,4
2교시,의학각론1,10,5
2교시,의학각론1,11,4
2교시,의학각론1,12,5
2교시,의학각론1,13,1
2교시,의학각론1,14,3
2교시,의학각론1,15,2
2교시,의학각론1,16,4
2교시,의학각론1,17,2
2교시,의학각론1,18,4
2교시,의학각론1,19,4
2교시,의학각론1,20,4
2교시,의학각론1,21,1
2교시,의학각론1,22,2
2교시,의학각론1,23,4
2교시,의학각론1,24,5
2교시,의학각론1,25,5
2교시,의학각론1,26,4
2교시,의학각론1,27,4
2교시,의학각론1,28,5
2교시,의학각론1,29,4
2교시,의학각론1,30,2
2교시,의학각론1,31,3
2교시,의학각론1,32,2
2교시,의학각론1,33,4
2교시,의학각론1,34,4
2교시,의학각론1,35,1
2교시,의학각론1,36,5
2교시,의학각론1,37,4
